task,model,skill_type,run,input_tokens,output_tokens,duration_sec,accuracy,correct,total_tests,solution_type,uses_velocity,error
task_004,haiku,no_skill,7,2098,2859,19.04,1.0,40,40,spherical,True,
task_004,haiku,manual_skill,7,2494,3000,18.94,0.0,0,40,lorentz,True,
task_004,haiku,auto_skill,7,2189,2999,18.35,0.95,38,40,spherical,True,
task_004,sonnet,no_skill,7,2099,1202,20.74,1.0,40,40,spherical,True,
task_004,sonnet,manual_skill,7,2495,1137,18.75,1.0,40,40,lorentz,True,
task_004,sonnet,auto_skill,7,2190,3000,44.12,0.0,0,40,unknown,False,function not found
task_004,haiku,no_skill,8,2098,1245,10.23,0.8,32,40,spherical,True,
task_004,haiku,manual_skill,8,2494,3000,18.3,0.0,0,40,unknown,False,"'(' was never closed (<string>, line 153)"
task_004,haiku,auto_skill,8,2189,3000,18.22,0.7,28,40,spherical,True,
task_004,sonnet,no_skill,8,2099,1277,23.24,1.0,40,40,spherical,True,
task_004,sonnet,manual_skill,8,2495,962,16.76,1.0,40,40,spherical,True,
task_004,sonnet,auto_skill,8,2190,1705,26.88,0.0,0,40,unknown,False,function not found
task_004,haiku,no_skill,9,2098,1867,16.09,0.0,0,40,unknown,False,setting an array element with a sequence. The requested array has an inhomogeneo
task_004,haiku,manual_skill,9,2494,1498,12.77,1.0,40,40,lorentz,True,
task_004,haiku,auto_skill,9,2189,3000,18.63,1.0,40,40,coulomb,True,
task_004,sonnet,no_skill,9,2099,1199,21.2,1.0,40,40,spherical,True,
task_004,sonnet,manual_skill,9,2495,938,16.13,1.0,40,40,spherical,True,
task_004,sonnet,auto_skill,9,2190,3000,45.02,0.0,0,40,unknown,False,"'(' was never closed (<string>, line 119)"
task_004,haiku,no_skill,10,2098,1302,10.7,0.8,32,40,coulomb,True,
task_004,haiku,manual_skill,10,2494,3000,18.34,0.0,0,40,unknown,False,"'(' was never closed (<string>, line 155)"
task_004,haiku,auto_skill,10,2189,3000,20.16,0.9,36,40,spherical,True,
task_004,sonnet,no_skill,10,2099,3000,40.74,0.0,0,40,unknown,False,function not found
task_004,sonnet,manual_skill,10,2495,911,16.3,1.0,40,40,coulomb,True,
task_004,sonnet,auto_skill,10,2190,1836,31.02,0.0,0,40,unknown,False,function not found
task_004,haiku,no_skill,11,2098,1660,13.46,0.0,0,40,unknown,False,function not found
task_004,haiku,manual_skill,11,2494,1042,8.82,1.0,40,40,lorentz,True,
task_004,haiku,auto_skill,11,2189,3000,17.68,0.0,0,40,unknown,False,"unterminated f-string literal (detected at line 154) (<string>, line 154)"
task_004,sonnet,no_skill,11,2099,3000,44.82,0.0,0,40,unknown,False,"'{' was never closed (<string>, line 88)"
task_004,sonnet,manual_skill,11,2495,976,16.32,1.0,40,40,spherical,True,
task_004,sonnet,auto_skill,11,2190,1790,29.82,0.0,0,40,unknown,False,function not found
task_004,haiku,no_skill,12,2098,3000,18.98,0.0,0,40,unknown,False,"unterminated f-string literal (detected at line 147) (<string>, line 147)"
task_004,haiku,manual_skill,12,2494,1288,11.31,1.0,40,40,lorentz,True,
task_004,haiku,auto_skill,12,2189,3000,17.72,0.85,34,40,spherical,True,
task_004,sonnet,no_skill,12,2099,1221,22.74,1.0,40,40,spherical,True,
task_004,sonnet,manual_skill,12,2495,1054,17.6,1.0,40,40,spherical,True,
task_004,sonnet,auto_skill,12,2190,3000,45.16,0.0,0,40,unknown,False,function not found
task_004,haiku,no_skill,13,2098,3000,17.38,0.0,0,40,lorentz,True,
task_004,haiku,manual_skill,13,2494,3000,26.46,0.0,0,40,lorentz,True,
task_004,haiku,auto_skill,13,2189,3000,17.5,0.8,32,40,spherical,True,
task_004,sonnet,no_skill,13,2099,2963,45.41,1.0,40,40,spherical,True,
task_004,sonnet,manual_skill,13,2495,814,14.19,1.0,40,40,spherical,True,
task_004,sonnet,auto_skill,13,2190,3000,43.21,0.0,0,40,unknown,False,function not found
task_004,haiku,no_skill,14,2098,3000,18.34,0.0,0,40,unknown,False,f-string: newlines are not allowed in format specifiers for single quoted f-stri
task_004,haiku,manual_skill,14,2494,1146,9.24,1.0,40,40,lorentz,True,
task_004,haiku,auto_skill,14,2189,2874,18.78,1.0,40,40,spherical,True,
task_004,sonnet,no_skill,14,2099,1015,18.45,1.0,40,40,spherical,True,
task_004,sonnet,manual_skill,14,2495,959,18.24,1.0,40,40,spherical,True,
task_004,sonnet,auto_skill,14,2190,3000,28.94,0.0,0,40,unknown,False,"'(' was never closed (<string>, line 121)"
